num,board,title,writer,upload_date,view,likes
921745,,하는일마다 오래 못해서 의욕을 잃어버린 20대백수,익명,05/30,2731,108
921737,,촉법소년 코난.JPG,익명,05/30,1645,60
921721,,어제 발생한 영화같은 한 장면,익명,05/30,2490,65
921648,,19) 했던 말때문에 남친이랑 관계 못하겠어,익명,05/30,3685,76
921646,,낮에 찍은건데 얘 너무 귀엽지않니,익명,05/30,5099,160
921625,,과제 다했는데 깜빡하고 못냈다,익명,05/30,1469,43
921606,,층간소음 해결 레전드 jpg.,익명,05/30,2240,81
921584,,이렇게 매일 울어가면서까지 살아야하는 이유가뭘까,익명,05/29,892,32
921570,,우리집 아래층에 이사온 비제이 찾았다...,익명,05/29,5019,142
921559,,음... 여자친구가 나보다 가슴이 작아,익명,05/29,4201,89
921532,,남녀공학 가는 manhwa.jpg,익명,05/29,3869,186
921531,,워터파크에서 수유당한 썰.jpg,익명,05/29,3782,123
921517,,성대 소프트 사태 보니까 20학번 학과생들은 빡칠만하네,익명,05/29,4556,124
921486,,나혼자산다 진정성 의심받을때마다 하는거,익명,05/29,1155,29
921460,,요즘엔 중견기업도 서류 뚫기 정말 어렵네요...,익명,05/29,1041,27
921436,,"예수회, 총장에 대한 비판을 조심해서 해야할 것 같아",익명,05/29,3665,162
922350,,이국종 교수님이 담배를 못 끊는 이유,익명,05/31,3850,210
922336,,"네이버웹툰 ""프리드로우"" 작가 저격글(유머)",익명,05/31,3566,121
922322,,소개팅녀가 갑자기 스펙 좋아서 엄청 매력적으로 느껴지는데,익명,05/31,4076,86
922313,,ㅋㅋ집에 왓는데 엄마가 방청소해줫어 근데 인형들이,익명,05/31,3717,155
922310,,엄마가 지도 18개를 만든 이유,익명,05/31,3385,279
922309,,미국 지하철 4대 언어에 한국어 선정!!,익명,05/31,2958,81
922302,,(군대만화)자신감이 넘쳤던 sky공대생,익명,05/31,1990,55
922296,,가천대 확진자 2명 학교에서 대면시험 봤다는데,익명,05/31,1633,44
922282,,장기취준생인데 힘내라고 한마디만 ㅠ,익명,05/31,2453,202
922279,,1학년때 과제제출한거봤는데 죽고싶다....,익명,05/31,4136,132
922265,,여러분은 공부하고 있습니까?,익명,05/31,1481,58
922250,,To. '무개념' 알바 짜른 어머니를 둔 다미(스압주의),익명,05/31,3701,287
922239,,"남자친구의 학벌.. 그냥 넋두리야,",익명,05/30,4833,132
922216,,고양이들은 너무 싸가지가 없어,익명,05/30,2452,79
922212,,나 예비예비회계사인데 갑자기 현타온다..,익명,05/30,3977,90
922191,,광고 섭외 연락 온 비,익명,05/30,3276,160
922183,,지금 미칠듯이 신경쓰이는데 좀 도와줘....,익명,05/30,2198,51
922164,,지하철에서 심쿵함,익명,05/30,4364,142
922150,,(스압주의 욕주의) 주말에 견주랑 싸우고 경찰부른 썰,익명,05/30,1325,50
922140,,내가 다 빡친다 진짜로,익명,05/30,1137,38
922136,,녹화 중반 갑자기 인사하는 기안84.jpg,익명,05/30,3226,115
922135,,다미들 나 변리사1차 합격했어ㅜㅜ,익명,05/30,3647,226
922098,,선미가 연예인이 되려고 결심한 이유.jpg,익명,05/30,3082,266
922064,,여자친구에게 먼저 시를 선물했습니다.,익명,05/30,1636,59
922060,,펌) 겁나 힙한 오리.jpg,익명,05/30,1185,49
922031,,???: 아니 빠르긴 하잖아,익명,05/30,1110,39
922024,,연예인 TMI를 알아보자.jpg(스압),익명,05/30,3926,108
922016,,최근에 취업이 더 힘들어지고 있는걸 느낀게..,익명,05/30,3734,100
921994,,야한냄새 풍긴 뉴비,익명,05/30,2479,53
921982,,울엄마  개빡쳐서 알바 다짤라버림.,익명,05/30,5229,440
921963,,다미들아 또올려서 미안한뎈ㅋㅋㅋㅋ너무 귀여워서(냥이),익명,05/30,3037,156
921932,,몰카 컨텐츠 ㅅㅂ 준나 싫어,익명,05/30,4189,219
921912,,후배 때린 개그맨들.jpg,익명,05/30,3267,142
922843,,4학년까지 방황하다가 공부하고 책까지 냈습니다,태연대세비욘세,05/31,3650,124
922800,,서강인이여,익명,05/31,3619,192
922780,,6시 내고향 근황.jpg,익명,05/31,2626,88
922774,,우리나라 시민의식 발전을 10년은 앞당긴 프로,익명,05/31,2246,74
922773,,선넘는 기안84...,익명,05/31,3020,112
922766,,19) 좀 이상한 여친..,익명,05/31,3989,46
922758,,??? : 아 노인코래방이라고!!,익명,05/31,2579,94
922728,,망한 코딩.jpg,익명,05/31,2154,64
922724,뻘글,여친한테 교복입은 모습 궁금하다니깐 변태라는데,익명,05/31,4239,45
922707,,정당방위 레전드.jpg,익명,05/31,3460,193
922643,,키 작은 게 죄인가..,익명,05/31,3935,228
922627,,서강대 안암캠퍼스ㄷㄷ,익명,05/31,4633,141
922605,,재수학원 알바하면서 잊을 수 없는 사람들.txt,익명,05/31,4235,163
922597,,19) 오빠 서?,익명,05/31,4002,122
922564,,이 마우스 아는 사람?,익명,05/31,2193,77
922530,,이봉원과 박미선의 딸,익명,05/31,3490,126
922522,,신촌역 이마트 open!,익명,05/31,3713,99
922495,,수능 공부중,익명,05/31,1046,41
922482,,안녕하세요 고양이빌런입니다.,고양이빌런,05/31,474,32
922479,,ㄸ치는데 아빠 들어옴,익명,05/31,3285,81
922415,,지금 곤플 외부행사,익명,05/31,4085,197
922403,,더이상 연애에 집착하지않기로 결정했다,익명,05/31,1028,32
922388,,멋지게 입수!,익명,05/31,2414,91
923370,,노래 마법의 성 논란,익명,06/01,3800,142
923345,,"[펌] 고졸, 지방대 CEO의 일침",익명,06/01,4606,169
923337,,열람실 만석일때마다 학교가 만석닭강정 줬으면 좋겠다.,익명,06/01,3447,154
923335,,부정행위 의심 시험 결국 무효화됨,익명,06/01,4326,157
923331,,초보 질문에 신난 고인물들,익명,06/01,1462,42
923297,,주인 나갔다!!,익명,06/01,2759,101
923292,,고작 실험때문에 태어나자마자 부모속이고 입양추진됨;;;,익명,06/01,3587,132
923266,,성균관 에타 근황.jpg,익명,06/01,3995,121
923235,,얼마전 실습실 부정행위 논란 있던 모 과목 진행상황,익명,06/01,3705,124
923232,,일상과 커뮤니티의 거리가 좁으면 어디든 안좋은듯...,익명,06/01,2202,70
923187,,사랑은 화가 났을 때도 서로를 챙기는 것,익명,06/01,1566,41
923111,,한국에서 가장 성공한 정책,익명,06/01,5021,169
923102,,펌) 눈치 드럽게 없는 해리포터,익명,06/01,3166,116
923099,,중고거래 105만원 사기 당했습니다ㅠㅠ (번개장터),익명,06/01,4275,123
923093,,ㅋㅋㅋㅋ남일같지 않네,익명,06/01,732,26
923085,,아 망할..부장님한테 찍혔다 살려줘ㅠㅠㅠ,익명,06/01,4065,132
923078,,한국이 전세계 다 씹어먹고 최고가 된 것,익명,06/01,2204,39
923069,,결혼예정인 남자친구가 알고보니 6촌...미친,익명,06/01,4848,100
923045,,발기.jpg,익명,06/01,4147,130
923028,,착한(?) 다미들...,익명,06/01,3271,77
923023,슬프다,강의에 대한 생각,익명,06/01,2655,61
923013,,들어보면 진짜 내용자체는 나쁘지 않음,익명,06/01,5050,84
923003,,성폭력 교육 저거 완장질 너무 심한 거 아니냐,익명,06/01,3321,65
923002,,중고등학교 예방교육보다도 더 내용이ㅋㅋㅋㅋㅋ,익명,06/01,2804,98
922994,,성폭력 가정폭력 예방교육에서 배운 것,익명,06/01,2817,82
