id	year	gdp	unemployment	sexratio
37	2010	10.93783842	6.8	114
37	2011	1.216972537	7.675	115
37	2012	3.3787693689999996	6.925	115
37	2013	4.167055385	10.75	116
37	2014	3.609278443	7.7	116
37	2015	2.209992508	8.9	117
37	2016	3.723959067	10.25	117
37	2017		9.375	118
38	2006	4.772883351	6.25	107
38	2007	9.031321691	6.425	107
38	2008	8.072827207000001	5.8	109
38	2009	3.504450095	7.05	110
38	2010	4.307101727	6.45	110
38	2011	3.4815250989999997	6.075	111
38	2012	4.153922754	5.875	111
38	2013	3.7731339210000003	5.8	112
38	2014	0.510019414	6.975	113
38	2015	2.232698226	8.8	114
38	2016	3.1574228260000003	8.525	115
38	2017		8.75	115
39	2006	2.5417049780000003	5.4	106
39	2007	6.70595017	5.4	106
39	2008	3.0972388960000004	4.1	106
39	2009	9.862598975	3.975	106
39	2010	5.41600424	5.1	107
39	2011	7.535692741	4.625	107
39	2012	5.923051751	5.25	107
39	2013	2.1802453880000003	5.9	108
39	2014	4.306323428	5.975	108
39	2015	6.182450619	4.975	107
39	2016	6.618048514	5.275	107
39	2017		5.675	107
